Variable1,Variable2
8.43,2.02
8.96,2.11
7.17,1.94
8.02,2.67
7.54,3.09
7.52,3.20
8.39,3.29
7.35,3.72
8.10,3.67
8.59,2.69
8.47,2.43
8.35,1.70
8.41,3.02
6.99,3.27
7.68,4.69
8.12,4.84
8.44,2.31
8.18,3.19
8.52,1.75
7.85,2.54
8.14,3.16
8.20,3.54
7.90,3.62
7.77,2.67
8.21,3.16
7.41,4.79
7.42,1.78
8.68,3.42
8.24,2.50
7.16,2.82
7.97,3.01
8.06,3.99
7.34,1.47
7.77,1.67
6.36,4.22
8.11,2.50
7.77,4.39
8.68,3.72
8.20,2.15
7.92,2.24
9.22,2.16
7.22,1.69
8.48,1.67
8.37,3.23
7.88,5.00
7.67,3.40
7.26,2.36
8.45,2.38
7.98,3.55
8.05,2.67
8.03,1.31
7.83,3.85
9.05,3.56
8.09,3.13
7.54,3.77
8.54,2.57
7.07,3.35
8.76,2.64
8.16,3.33
8.59,3.41
7.44,3.68
7.82,3.02
8.53,1.53
8.52,2.14
7.65,3.97
8.72,2.34
7.38,1.78
7.49,4.28
8.11,2.20
7.92,1.93
7.95,3.56
7.15,3.70
8.95,3.74
7.67,3.75
7.41,2.16
9.30,1.99
7.52,2.80
8.05,4.06
8.48,4.09
8.46,3.24
7.17,3.12
7.56,2.42
7.83,4.67
8.60,3.83
7.35,3.00
7.87,3.23
8.50,2.89
8.07,3.53
8.24,3.65
6.36,2.21
7.91,2.19
7.35,0.95
8.40,2.73
7.44,4.37
7.72,3.69
8.14,3.49
6.77,2.87
7.73,3.55
9.67,4.22
8.77,1.82
8.13,2.81
7.15,3.26
8.60,3.26
8.55,4.08
7.77,4.56
7.49,2.82
7.97,2.65
7.10,3.85
9.11,3.40
8.07,2.71
8.28,3.47
7.89,2.52
6.47,2.97
8.84,3.05
7.07,2.34
7.04,1.34
8.91,3.14
8.28,1.23
8.33,3.56
8.75,2.16
7.23,4.02
8.39,2.76
8.45,4.41
8.18,3.42
8.56,3.60
7.92,3.07
6.87,1.95
9.56,2.51
6.97,4.08
9.08,1.95
8.02,2.82
7.81,2.33
7.50,2.60
8.33,2.85
8.14,3.12
7.88,2.48
7.49,2.70
7.99,1.85
7.53,3.78
7.51,3.10
7.14,4.01
8.81,3.21
8.08,3.37
7.92,2.43
8.52,2.42
8.25,4.02
7.28,2.88
8.01,1.27
7.70,3.06
7.23,3.80
9.00,4.18
9.25,2.77
8.71,3.27
7.26,2.24
7.76,1.58
7.99,3.03
9.73,3.24
8.83,3.45
7.59,2.22
7.66,2.73
8.70,4.00
7.76,2.80
7.52,2.85
8.17,2.56
8.09,2.49
8.81,3.18
7.66,4.14
6.95,2.90
8.93,3.99
8.48,2.97
8.62,3.59
8.66,2.18
8.68,2.27
7.23,2.99
7.96,4.03
7.87,3.26
7.39,2.01
7.78,3.47
9.57,2.15
9.10,2.77
8.86,1.81
8.16,3.13
7.73,2.78
8.00,3.10
6.85,1.99
7.47,0.77
7.17,3.60
8.19,2.25
8.56,2.99
7.43,3.50
8.80,2.71
8.44,3.23
8.20,1.99
7.18,2.10
8.19,2.95
7.89,4.04
8.92,1.48
6.71,2.63
8.26,3.46
7.84,1.29
9.14,2.44
8.21,3.02
7.80,3.90
8.76,1.90
6.45,2.47
8.21,3.22
8.22,3.91
8.62,2.65
7.16,2.39
8.72,2.43
8.69,3.54
9.31,2.99
6.60,4.62
8.02,2.90
8.86,2.72
7.36,2.72
8.35,2.69
9.10,2.22
7.53,1.89
9.15,4.39
7.82,2.29
6.92,4.16
8.38,3.52
7.77,3.97
8.01,2.04
7.45,3.21
7.17,3.42
7.42,2.61
7.67,2.73
8.31,1.93
7.59,1.88
7.68,2.18
8.08,3.35
9.16,2.61
8.80,2.55
7.58,3.50
8.61,3.87
8.31,3.12
9.06,2.61
7.48,2.48
7.22,2.45
8.95,1.69
9.05,1.75
8.64,0.79
9.05,2.44
8.11,2.93
7.79,4.24
8.64,2.95
8.28,3.76
7.82,3.69
8.64,2.52
7.30,3.27
7.46,3.35
7.83,3.81
8.55,4.70
8.76,3.43
7.63,2.18
8.32,4.06
8.54,2.90
7.67,3.93
8.16,1.57
8.93,1.22
7.53,2.67
8.37,2.57
7.58,2.98
8.69,2.73
9.27,3.22
7.70,2.66
7.60,3.53
7.83,2.87
7.62,4.46
6.85,2.73
8.23,3.26
8.02,3.61
8.15,2.84
7.38,3.27
7.34,1.38
8.58,2.79
7.71,2.84
7.92,2.74
7.89,3.19
7.92,3.43
9.50,3.80
8.29,3.09
8.23,3.65
8.28,3.96
8.66,2.85
7.72,3.40
9.01,2.14
8.28,2.96
7.91,2.83
8.94,3.87
8.10,2.60
8.56,3.29
7.75,2.68
8.16,1.68
7.91,2.78
7.66,3.56
7.55,3.19
7.77,2.69
7.71,5.29
8.06,2.34
7.04,1.82
7.41,2.61
7.88,3.84
7.71,3.30
7.98,3.49
8.30,3.02
7.94,4.57
8.06,2.08
7.65,1.66
7.61,1.82
8.62,4.79
8.17,2.39
7.55,1.98
7.16,2.80
8.61,2.68
6.93,4.69
6.86,3.49
9.15,3.96
8.48,1.42
8.49,2.43
7.99,1.84
7.25,2.19
9.15,2.28
7.17,1.07
9.09,3.54
7.67,1.04
7.35,2.36
9.23,2.29
8.40,1.62
7.79,3.82
7.63,1.86
8.45,3.47
8.18,3.90
7.72,3.30
7.32,2.79
8.04,1.26
7.64,3.57
7.04,2.43
8.07,5.43
8.59,2.56
7.06,2.71
8.02,3.88
7.68,3.67
8.67,2.81
8.47,2.71
8.02,1.78
8.03,3.69
8.35,2.81
8.61,2.53
7.86,1.91
8.41,2.65
8.14,3.15
8.00,3.25
8.45,2.93
8.33,3.14
8.35,2.80
8.62,3.50
7.49,2.87
7.55,1.57
7.87,4.06
8.41,2.99
8.26,3.53
8.73,3.67
9.28,3.93
6.96,3.11
8.62,2.84
7.06,3.04
7.63,1.22
7.92,3.87
8.43,3.57
8.10,2.15
8.74,2.82
7.64,3.15
9.04,3.41
8.21,2.28
9.18,3.73
8.99,4.48
7.29,3.72
8.48,1.55
8.22,2.64
6.81,3.64
7.88,2.95
8.46,3.07
8.27,2.00
8.48,2.71
7.39,2.71
8.45,1.83
8.41,2.70
9.12,3.58
8.20,3.66
7.69,3.38
7.88,2.56
8.16,2.90
8.81,3.25
8.21,2.87
8.78,1.51
6.89,2.05
8.01,1.41
7.36,3.55
8.32,1.82
8.42,4.24
9.29,3.14
8.18,2.92
9.02,3.42
7.44,3.68
7.63,3.48
7.23,2.91
9.47,2.04
8.14,3.94
7.86,3.87
8.28,2.51
7.53,3.16
6.92,1.97
8.12,2.02
7.85,2.03
8.75,3.72
8.27,3.15
7.68,2.07
9.28,3.50
7.90,3.36
8.58,4.05
9.01,3.60
7.51,3.07
8.31,2.94
8.05,0.52
9.01,2.87
9.04,3.76
8.25,4.64
7.58,5.22
8.06,1.51
7.57,3.10
6.90,2.89
7.72,2.42
7.66,2.36
8.12,3.23
7.92,3.05
8.19,3.46
8.14,4.50
9.03,2.16
7.36,2.17
8.47,2.52
8.71,2.26
7.14,1.61
7.00,2.67
9.23,3.58
8.08,2.43
7.80,2.37
7.76,3.16
8.39,2.71
8.29,6.78
9.10,7.20
7.35,7.19
7.38,6.80
7.34,6.66
7.25,7.20
9.63,6.78
8.79,6.69
7.96,7.86
7.71,7.52
7.60,6.51
10.84,7.19
8.66,6.74
7.76,6.68
8.60,7.48
8.95,7.46
7.73,7.30
8.26,6.94
8.25,6.73
7.42,6.56
9.09,7.37
8.49,7.32
9.36,7.23
7.85,5.95
8.69,6.73
9.64,6.77
8.00,7.34
8.21,6.74
7.81,6.41
7.91,6.94
9.30,6.71
7.95,6.53
7.33,6.86
7.39,7.51
7.90,7.46
8.06,5.92
7.89,7.49
8.59,6.61
7.36,7.50
8.25,6.78
7.70,6.88
7.48,6.73
8.65,6.36
7.42,6.77
6.68,7.45
8.13,7.57
6.20,6.59
8.82,7.00
7.97,6.78
7.92,7.49
8.02,7.14
6.69,7.29
7.58,7.24
8.48,7.11
8.48,7.34
7.67,6.35
7.11,6.93
8.59,7.11
7.70,7.41
8.41,7.22
7.99,7.46
9.17,6.89
8.48,6.90
6.86,6.69
7.98,6.44
7.83,7.29
9.76,5.63
7.06,6.76
7.24,7.17
8.00,7.25
7.72,7.01
8.29,6.73
6.58,7.40
7.92,7.07
8.76,7.51
6.68,7.43
8.70,6.49
8.38,6.33
8.33,7.24
6.52,6.35
7.80,6.75
7.58,6.29
6.72,5.75
7.33,6.79
8.74,7.26
7.53,6.95
6.87,6.96
8.60,6.67
8.71,6.35
7.26,7.29
7.13,7.33
8.56,6.97
7.50,7.77
8.77,6.37
8.03,7.41
6.94,7.14
7.87,7.43
8.67,6.58
8.82,6.97
7.08,6.73
7.98,7.20
7.56,6.29
8.04,6.50
8.19,6.61
7.43,6.22
7.07,7.34
8.75,7.40
7.52,6.51
6.51,6.75
7.60,6.37
8.33,6.74
8.93,7.08
8.52,6.30
5.49,6.60
9.17,6.80
9.16,6.90
7.00,6.45
8.14,6.35
7.06,6.85
7.42,6.66
6.38,7.02
8.52,7.00
7.45,7.16
7.22,6.79
6.44,6.94
7.36,6.95
8.41,6.54
7.80,7.80
6.57,6.88
7.42,6.38
7.95,6.87
7.32,6.95
8.18,6.89
8.80,7.90
9.86,6.96
7.65,7.06
8.21,6.89
8.93,8.23
8.02,6.11
8.20,6.56
8.57,6.61
6.92,7.08
8.88,6.47
7.77,7.16
8.05,6.97
8.19,6.60
6.30,6.65
7.16,7.14
10.01,6.91
7.48,7.59
7.61,6.68
7.92,6.97
7.07,7.06
7.69,6.57
6.70,7.42
7.98,7.16
8.23,7.40
8.81,7.02
9.29,6.74
5.63,7.02
7.21,7.37
8.49,7.70
9.38,7.54
6.71,6.28
6.55,6.85
7.32,7.61
8.79,6.59
6.79,7.32
8.74,6.71
8.33,6.58
8.22,6.93
8.30,6.69
7.01,7.91
7.91,6.83
8.26,7.35
8.99,6.90
6.90,6.99
5.98,6.74
7.33,7.04
7.28,5.87
7.23,7.18
8.22,7.28
8.13,7.31
8.19,7.08
8.12,6.49
8.66,6.61
8.15,7.24
8.10,8.41
7.03,6.75
6.32,7.00
8.69,7.63
8.11,6.35
8.27,7.23
7.68,7.20
8.75,7.46
8.09,8.16
8.23,6.17
7.86,7.34
6.98,6.64
6.84,6.43
7.98,6.40
8.19,6.71
6.51,6.51
6.52,7.17
8.26,7.52
7.73,6.69
10.27,6.84
6.95,6.89
8.10,6.88
7.42,7.34
7.73,6.18
5.84,7.52
8.63,7.04
6.67,7.09
8.80,7.61
9.29,7.92
8.67,6.59
7.30,7.01
8.59,6.72
8.58,7.04
8.95,7.58
7.78,7.81
8.26,7.17
7.19,6.93
8.09,7.02
6.98,6.63
7.82,6.42
8.20,7.40
6.58,6.90
9.44,7.04
7.62,6.52
8.50,7.41
7.90,7.13
7.24,7.26
7.53,6.53
7.69,6.54
7.03,7.15
6.77,7.34
7.52,6.82
8.91,6.25
8.63,7.41
6.84,7.61
8.21,7.23
8.86,7.47
8.23,6.91
6.60,6.63
7.28,7.46
7.82,6.69
6.46,6.73
8.55,6.71
9.09,6.11
8.32,7.08
7.24,6.50
8.71,6.32
7.49,5.93
7.46,7.28
7.49,7.40
7.91,7.48
8.11,6.72
6.05,7.04
7.11,7.56
7.17,6.67
8.28,8.09
9.70,6.76
8.96,7.32
9.69,6.86
7.53,7.64
9.06,7.14
8.13,6.45
8.46,7.43
9.93,7.23
9.93,6.62
7.67,7.53
9.16,7.37
9.92,7.12
8.47,6.88
8.18,6.96
10.35,7.27
7.04,7.22
9.71,7.63
8.26,6.38
7.37,7.75
6.92,6.03
7.69,6.66
7.82,7.49
7.74,6.82
7.37,7.39
6.08,6.76
8.90,6.74
8.48,7.67
7.18,7.36
8.42,6.49
8.07,6.74
7.58,7.23
7.59,6.86
7.08,6.28
6.67,7.38
8.65,6.96
7.84,6.92
9.16,6.33
8.50,6.65
6.82,7.44
8.09,7.62
7.89,7.87
6.87,7.30
6.89,6.95
8.97,6.42
8.17,7.46
8.49,7.55
7.53,7.36
7.04,6.53
8.87,7.09
7.88,7.41
7.07,7.97
10.66,6.94
7.09,7.29
9.68,6.82
8.57,7.27
7.61,6.81
8.83,6.15
8.12,6.61
7.23,6.98
9.89,7.15
6.66,7.36
7.22,6.30
7.30,7.68
7.74,6.88
6.97,6.69
8.45,5.69
6.66,7.73
8.96,6.79
9.29,6.43
8.17,7.01
7.34,7.86
7.22,7.38
7.75,6.77
7.84,7.75
7.50,7.94
8.83,6.67
8.93,6.82
7.83,6.86
7.33,7.21
8.51,7.31
8.02,6.58
6.95,7.77
8.07,6.65
8.68,6.91
7.40,7.14
7.15,6.85
8.87,7.13
7.58,6.85
7.05,7.09
7.32,7.28
8.73,7.18
8.87,7.64
8.90,7.28
6.70,6.78
8.77,6.66
7.31,6.93
7.10,6.86
8.49,6.85
7.96,6.97
7.49,6.69
7.25,6.64
9.21,6.33
8.04,6.28
8.18,7.10
8.85,6.79
7.11,7.73
8.28,7.20
7.72,7.26
8.07,6.87
7.39,7.10
8.28,7.49
8.96,6.93
7.92,6.95
7.32,6.98
8.21,6.88
8.18,6.97
7.90,7.62
8.18,7.01
8.92,6.52
9.22,6.59
9.74,6.60
6.41,7.15
8.47,7.79
5.58,7.01
7.91,6.63
8.65,6.81
8.39,6.68
7.23,6.39
7.89,6.99
9.26,6.59
8.16,7.22
7.31,6.73
8.81,6.97
8.53,6.78
8.23,6.88
6.92,7.06
8.69,6.86
6.98,7.16
8.63,6.93
7.02,6.97
8.13,6.81
6.32,6.53
10.22,7.53
6.49,6.85
8.66,7.42
7.16,7.12
6.79,7.22
8.86,8.10
8.51,7.52
9.17,6.79
7.63,6.83
6.92,7.02
7.90,5.86
8.01,7.16
7.71,6.60
6.41,6.96
9.18,7.47
6.72,7.13
6.50,6.81
6.94,7.10
8.48,6.94
7.97,6.38
6.04,7.16
7.63,7.63
9.85,6.98
8.12,7.65
8.79,6.98
7.72,7.72
8.04,7.06
10.05,7.58
8.82,6.88
7.27,6.87
7.51,6.99
7.18,7.12
6.87,6.75
8.26,7.29
7.84,6.84
9.20,6.37
7.65,6.81
8.24,6.99
6.21,7.30
7.15,6.77
8.08,6.97
7.92,6.87
9.00,7.39
7.57,6.78
7.99,7.83
6.78,7.08
7.89,7.67
8.20,7.01
7.66,5.90
8.20,6.75
8.04,7.10
7.69,6.47
8.86,7.85
8.16,7.18
8.53,7.49
6.75,7.24
7.66,7.16
7.83,6.48
7.92,7.07
8.71,7.40
8.08,6.49
7.81,6.70
6.52,6.86
7.60,6.14
9.00,6.63
7.06,6.82
9.14,7.42
8.36,7.68
7.13,7.07
8.33,8.00
7.22,7.16
7.68,7.03
8.12,6.20
8.32,7.33
7.72,8.10
8.66,7.18
7.95,7.85
8.27,7.36
8.31,7.38
9.07,6.86
7.25,6.75
8.23,6.78
8.57,6.30
8.36,7.23
7.06,7.00
7.98,5.83
6.70,6.75
7.76,6.99
8.19,6.81
8.23,8.04
9.16,6.75
8.35,6.84
8.29,6.53
9.58,7.05
7.36,7.06
11.48,10.28
10.53,14.01
9.41,13.75
11.25,12.97
12.19,11.14
8.31,12.66
6.56,12.81
11.34,12.58
11.61,12.72
11.03,11.45
9.62,11.41
10.17,11.76
9.90,11.43
12.23,9.34
10.44,12.60
10.14,13.40
6.96,12.40
9.69,10.49
10.26,12.68
10.44,12.40
9.98,10.79
12.45,12.07
10.07,12.67
14.00,12.69
10.55,10.18
8.11,12.46
8.12,12.47
8.86,11.90
6.77,11.77
10.44,11.87
11.28,12.10
9.40,11.32
10.57,12.30
11.39,12.32
7.65,12.54
9.76,10.36
8.48,11.09
10.77,9.87
9.67,12.50
9.73,10.77
11.31,12.13
9.96,10.06
10.00,13.90
9.09,10.90
11.35,12.01
10.27,12.22
10.51,12.02
10.65,11.21
10.38,10.41
9.10,12.35
9.91,11.45
9.23,12.77
12.21,12.39
9.94,11.99
10.12,10.15
10.29,13.07
11.49,11.31
10.73,12.32
8.78,12.31
11.79,11.25
10.37,12.49
12.22,12.08
10.43,12.11
10.88,11.99
10.66,10.65
9.52,11.85
10.64,11.09
11.52,11.82
12.66,10.63
9.36,13.02
10.22,12.52
10.17,13.01
8.13,12.60
10.15,12.28
9.00,11.13
12.91,10.92
11.97,11.04
9.44,11.34
11.63,10.53
7.44,13.04
10.32,10.66
9.44,10.73
8.16,13.57
7.34,13.61
10.30,11.63
10.68,12.71
9.30,12.80
11.37,12.91
10.28,10.87
10.09,11.86
9.62,13.20
8.25,12.07
8.91,10.82
8.48,13.02
7.93,11.18
11.72,11.44
9.61,12.94
8.65,12.66
10.72,11.67
9.96,10.44
7.66,10.84
9.78,11.16
9.95,10.49
10.32,11.64
12.91,10.57
13.12,12.23
11.60,12.03
11.37,12.99
8.15,11.86
10.34,10.83
9.59,11.62
7.62,12.60
7.28,10.69
9.29,12.63
9.97,11.92
8.83,12.39
10.50,11.89
10.19,11.23
9.59,11.82
9.71,11.06
7.89,10.98
9.64,13.00
9.95,12.09
9.30,12.33
10.37,10.48
9.99,12.09
11.38,11.34
9.95,11.49
6.61,10.58
10.55,12.34
9.52,11.35
9.12,11.88
9.96,11.21
12.08,12.96
10.06,12.22
9.85,10.78
12.48,12.56
11.42,11.68
7.65,13.49
10.74,12.11
9.06,13.06
9.48,13.86
8.95,12.46
9.55,12.65
10.28,11.09
9.88,13.27
10.92,11.09
9.40,11.99
12.89,12.14
9.90,10.68
8.59,12.26
11.13,13.86
11.37,13.00
11.61,11.16
6.46,10.50
10.90,12.75
9.79,14.16
11.81,11.63
9.19,12.18
9.09,11.27
9.20,11.56
10.21,12.84
8.32,12.13
9.66,12.18
11.44,11.45
7.97,14.05
8.62,12.00
12.49,11.05
11.73,11.74
12.84,12.38
11.02,11.06
12.27,12.70
7.41,11.89
9.32,12.48
9.81,11.00
12.50,12.69
6.74,12.46
8.02,11.26
9.53,11.97
8.71,11.73
10.62,10.93
8.02,12.52
11.49,10.15
9.11,12.06
7.65,11.20
7.91,11.77
9.22,13.13
9.81,12.00
12.10,13.76
8.57,12.76
10.82,11.78
11.53,11.39
8.79,12.15
10.33,11.52
10.53,12.42
9.25,11.40
13.11,12.63
11.60,13.10
9.20,12.53
9.07,12.18
11.43,10.79
10.66,12.02
8.54,12.25
9.26,12.11
5.67,11.71
9.68,12.36
9.17,10.50
8.35,11.47
9.27,9.93
9.08,12.97
8.02,11.87
9.67,13.24
9.78,12.52
10.89,13.45
11.78,10.78
9.95,13.01
9.02,11.98
9.12,12.07
8.76,13.30
11.74,11.69
9.41,10.93
9.18,12.97
9.07,12.17
10.64,11.12
10.21,10.17
14.05,12.90
8.37,11.20
12.02,11.53
7.58,12.19
11.13,13.11
8.44,14.59
9.27,11.71
10.45,11.37
8.60,13.58
9.08,12.22
9.55,11.03
8.10,12.20
9.64,11.49
8.17,11.63
9.54,12.85
8.76,10.57
8.93,12.49
11.68,11.56
9.49,13.10
10.77,10.54
10.23,12.15
9.17,12.54
